State,Institute
Andhra Pradesh,DNR COLLEGE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,"DNR COLLEGE, P.G.COURSES"
Andhra Pradesh,DNR SCHOOL OF BUSINESS MANAGEMENT
Andhra Pradesh,DON BOSCO.P.G.COLLEGE
Andhra Pradesh,DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING (FOR WOMEN)
Andhra Pradesh,DR LANKAPALLI BULLAYYA P.G. COLLEGE
Andhra Pradesh,DR SAMUEL GEORGE INSTITUTE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,DR. C.S.N INSTITUTE OF PHARMACY
Andhra Pradesh,DR. CSN DEGREE & PG COLLEGE
Andhra Pradesh,DR. K.V. SUBBA REDDY INSTITUTE OF PHARMACY
Andhra Pradesh,DR. SAMUEL GEORGE INSTITUTE OF PHARMACEUTICAL SCIENCES
Andhra Pradesh,DR.A.E.R.COLLEGE OF MANAGEMENT STUDIES & RESEARCH
Andhra Pradesh,DR.AGARALA ESWARA REDDI MBA COLLEGE
Andhra Pradesh,DR.JYOTHIRMAYI DEGREE COLLEGE(MBA)
Andhra Pradesh,DR.K.V.SUBBA REDDY COLLEGE OF ENGINEERING FOR WOMEN
Andhra Pradesh,DR.K.V.SUBBA REDDY INSTITUTE OF MANAGEMENT
Andhra Pradesh,DR.K.V.SUBBA REDDY INSTITUTE OF MCA
Andhra Pradesh,DR.K.V.SUBBA REDDY INSTITUTE OF TECHNOLOGY
Andhra Pradesh,"DUVVURU RAMANAMMA WOMEN'S DEGREE COLLEGE,GUDUR"
Andhra Pradesh, EDGE INTERNATIONAL B SCHOOL
Andhra Pradesh,ELURU COLLEGE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,EMERALDS ADVANCED INSTITUTE OF MANAGEMENT STUDIES
Andhra Pradesh,EMERALDS ADVANCED INSTITUTE OF MANAGEMENT STUDIES(EAIMS)
Andhra Pradesh,EMMANUEL COLLEGE OF PHARMACY
Andhra Pradesh,ESWAR COLLEGE OF ENGINEERING
Andhra Pradesh,EVM COLLEGE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,FATHIMA INSTITUTE OF PHARMACY
Andhra Pradesh,G.B.R.DEGREE COLLEGE (P.G.COURSES)- MCA PROGRAMME
Andhra Pradesh,G.B.R.DEGREE COLLEGE-M.B.A PROGRAMME
Andhra Pradesh,G.PULLA REDDY ENGINEERING COLLEGE
Andhra Pradesh,G.PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY
Andhra Pradesh,G.V.R & S COLLEGE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,GANDHIJI INSTITUTE OF SCIENCE AND TECHNOLOGY
Andhra Pradesh,GATE INSTITUTE OF TECHNOLOGY AND MANAGEMENT SCIENCES
Andhra Pradesh,GATES INSTITUTE OF TECHNOLOGY
Andhra Pradesh,GAYATRI COLLEGE FOR PG COURSES
Andhra Pradesh,GAYATRI GROUP OF INSTITUTIONS
Andhra Pradesh,GAYATRI INSTITUTE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES
Andhra Pradesh,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING
Andhra Pradesh,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING FOR WOMEN
Andhra Pradesh,GDMM COLLEGE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,GEETHANJALI INSTITUTE OF PG STUDIES
Andhra Pradesh,GEETHANJALI INSTITUTE OF SCIENCE AND TECHNOLOGY
Andhra Pradesh,GIET COLLEGE OF ENGINEERING
Andhra Pradesh,GIET ENGINEERING COLLEGE
Andhra Pradesh,GIET SCHOOL OF PHARMACY
Andhra Pradesh,GLOBAL COLLEGE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,GLOBAL INSTITUTE OF BUSINESS MANAGEMENT
Andhra Pradesh,GLOBAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY
Andhra Pradesh,GLOBAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT SCIENCES
Andhra Pradesh,GMR INSTITUTE OF TECHNOLOGY
Andhra Pradesh,GODAVARI INSTITUTE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,GODAVARI INSTITUTE OF ENGINEERING AND TECHNOLOGY
Andhra Pradesh,GOKUL COLLEGE OF PHARMACY
Andhra Pradesh,GOKUL GROUP OF INSTITUTIONS
Andhra Pradesh,GOKUL INSTITUTE OF TECHNOLOGY AND SCIENCES
Andhra Pradesh,GOKULA KRISHNA COLLEGE OF ENGINEERING
Andhra Pradesh,GOKULA KRISHNA COLLEGE OF PHARMACY
Andhra Pradesh,GONNA INSTITUTE OF INFORMATION TECHNOLOGY AND SCIENCES
Andhra Pradesh,GONNA INSTITUTE OF TECHNOLOGY AND MANAGEMENT STUDIES
Andhra Pradesh,TECHNOLOGY & MANAGEMENT FOR WOMEN
Andhra Pradesh,GOVERNMENT INSTITUTE OF CERAMIC TECHNOLOGY
Andhra Pradesh,GOVERNMENT INSTITUTE OF CHEMICAL ENGINEERING
Andhra Pradesh,GOVERNMENT POLYTECNIC
Andhra Pradesh,GOVT INSTITUTE OF TEXTILE TECHNOLOGY
Andhra Pradesh,GRANDHI VARALAKSHMI VENKATA RAO INSTITUTE OF TECHNOLOGY
Andhra Pradesh,GREEN ROYAL ACADEMY OF PHARM. EDUCATION & SCIENCES
Andhra Pradesh,GUDLAVALLERU ENGINEERING COLLEGE
Andhra Pradesh,GUNTUR ENGINEERING COLLEGE
Andhra Pradesh,H.M.K.S & M.G.S COLLEGE OF ENGINEERING
Andhra Pradesh,HAINDAVI PG COLLEGE (MBA)
Andhra Pradesh,HARINADHA REDDY ISTITUTE OF MANAGEMENT SCIENCES
Andhra Pradesh,HELAPURI INSTITUTE OF TECHNOLOGY & SCIENCE
Andhra Pradesh,HINDU COLLEGE
Andhra Pradesh,HINDU COLLEGE OF ENGINEERING AND TECHNOLOGY
Andhra Pradesh,HINDU COLLEGE OF MANAGEMENT
Andhra Pradesh,HINDU COLLEGE OF PHARMACY
Andhra Pradesh,IDEAL COLLEGE OF ARTS AND SCIENCES South-Central IDEAL INSTITUTE OF TECHNOLOGY
Andhra Pradesh,IDEALCOLLEGE OF ARTS AND SCIENCES
Andhra Pradesh,INDIAN INSTITUTE OF TOURISM AND TRAVEL MANAGEMENT
Andhra Pradesh,INDIRA INSTITUTE OF TECHNOLOGY AND SCIENCES
Andhra Pradesh,INDIRA PRIYADARSHINI COLLEGE OF ENGG AND TECH FOR WOMEN
Andhra Pradesh,INDO AMERICAN INSTITUTIONS - TECHNICAL CAMPUS
Andhra Pradesh,INSTITUTE FOR FINANCIAL MANAGEMENT AND RESEARCH
Andhra Pradesh,"TECHNOLOGY,SRI PADMAVATI MAHILA VISWAVIDYALAYAM"
Andhra Pradesh,"INSTITUTE OF SCIENCE AND TECHNOLOGY,JNTUK,KAKINADA"
Andhra Pradesh,INTEGRAL INSTITUTE OF ADVANCED MANAGEMENT (IIAM)
Andhra Pradesh,INTELL ENGINEERING COLLEGE
Andhra Pradesh,INTELLECTUAL INSTITUTE OF TECHNOLOGY
Andhra Pradesh,TECHNOLOGY AND SCIENCES FOR WOMEN
Andhra Pradesh,J N T UNIVERSITY ANANTAPUR
Andhra Pradesh,JAGAN'S COLLEGE OF ENGINEERING AND TECHNOLOGY
Andhra Pradesh,JAGAN'S COLLEGE OF PHARMACY
Andhra Pradesh,JAGAN'S INSTITUTE OF MANAGEMENT STUDIES
Andhra Pradesh,JAGARLAMUDI KUPPUSWAMY CHOUDARY COLLEGE
Andhra Pradesh,JNANA GAMYA INSTITUTE OF TECHNOLOGIES
Andhra Pradesh,JNTUA COLLEGE OF ENGINEERING
Andhra Pradesh,JNTUA COLLEGE OF ENGINEERING PULIVENDULA
Andhra Pradesh,JNTUA OIL TECHNOLOGICAL RESEARCH INSTITUTE
Andhra Pradesh,"JNTUK UNIVERSITY COLLEGE OF ENGINEERING,VIZIANAGARAM"
Andhra Pradesh,"& SCIENCES, COLLEGE OF ENGINEERING"
Andhra Pradesh,"JOGAIAH INSTITUTE OF TECHNOLOGY & SCIENCES, COLLEGE OF PHARMACY"
Andhra Pradesh,K M M INSTITUTE OF TECHNOLOGY & SCIENCE
Andhra Pradesh,K S N INSTITUTE OF TECHNOLOGY
Andhra Pradesh,K. C. REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES
Andhra Pradesh,K. CHANDRAKALA P.G COLLEGE
Andhra Pradesh,"K. CHANDRAKALA P.G COLLEGE,TENALI"
Andhra Pradesh,K.C REDDY P.G COLLEGE
Andhra Pradesh,K.S.R.M. COLLEGE OF ENGINEERING
Andhra Pradesh,KAKINADA INSTITUE OF TECHNOLOGICAL SCIENCES
Andhra Pradesh,KAKINADA INSTITUTE OF ENGINEERING & TECHNOLOGY
Andhra Pradesh,KAKINADA INSTITUTE OF ENGINEERING & TECHNOLOGY FOR WOMEN
Andhra Pradesh,KAKINADA INSTITUTE OF ENGINEERING & TECHNOLOGY-II
Andhra Pradesh,KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE
Andhra Pradesh,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY
Andhra Pradesh,KALYANI MCA COLLEGE
Andhra Pradesh,KAMALA INSTITUTE OF MANAGEMENT STUDIES
Andhra Pradesh,KAMALAJAYARAO COLLEGE OF PHARMACY
